Ticker,Date,Revenue,NetIncome,EBITDA,TotalDebt,TotalAssets,TotalEquity,SharesOutstanding,EPS,BookValuePerShare
AMD,2025-03-31,7438000000.0,709000000.0,1587000000.0,4731000000.0,71550000000.0,57881000000.0,1620480000,0.4375246840442338,35.71842910742496
AMD,2025-06-30,7685000000.0,872000000.0,721000000.0,3886000000.0,74820000000.0,59665000000.0,1643229952,0.5306621869560469,36.30958645038135
AMGN,2023-12-31,,,,,,,535177984,,
AMGN,2024-06-30,8388000000.0,746000000.0,3002000000.0,62645000000.0,90907000000.0,5925000000.0,536435008,1.3906624080731136,11.04514043945469
AMGN,2024-09-30,8503000000.0,2830000000.0,5273000000.0,60398000000.0,90883000000.0,7527000000.0,538096000,5.259284588623592,13.988210282180132
AMGN,2024-12-31,9086000000.0,627000000.0,2926000000.0,60099000000.0,91839000000.0,5877000000.0,537532992,1.166440031275327,10.933282398413231
AMGN,2025-03-31,8149000000.0,1730000000.0,4083000000.0,57381000000.0,89367000000.0,6207000000.0,537204992,3.220372159162661,11.5542485502443
AMGN,2025-06-30,9179000000.0,1432000000.0,3603000000.0,56204000000.0,87897000000.0,7428000000.0,541548032,2.644271450330005,13.716234869449217
AMT,2023-12-31,,,,,,,466164992,,
AMT,2024-06-30,2544700000.0,900300000.0,1771700000.0,47389500000.0,65837800000.0,3856000000.0,466975008,1.9279404348765492,8.257401218353852
AMT,2024-09-30,2522300000.0,-792300000.0,1420100000.0,44781300000.0,62816800000.0,3641700000.0,470022016,-1.6856657199649132,7.747934939285908
AMT,2024-12-31,2547600000.0,1229600000.0,2127800000.0,43954100000.0,61077400000.0,3382200000.0,467288992,2.631348097324749,7.237919270308854
AMT,2025-03-31,2562800000.0,488700000.0,1435300000.0,44383600000.0,62055600000.0,3534800000.0,467456992,1.0454437699372352,7.561765168762306
AMT,2025-06-30,2626900000.0,366800000.0,1364700000.0,45213200000.0,63754500000.0,3712800000.0,473948992,0.7739229456996081,7.833754396928858
AMZN,2023-12-31,,,,,,,10334000128,,
AMZN,2024-03-31,,,,,,,10387399680,,
AMZN,2024-06-30,147977000000.0,13485000000.0,27872000000.0,132973000000.0,554818000000.0,236447000000.0,10406599680,1.2958123128264698,22.72087014689509
AMZN,2024-09-30,158877000000.0,15328000000.0,32082000000.0,134692000000.0,584626000000.0,259151000000.0,10587899904,1.447690301096371,24.47614752214416
AMZN,2024-12-31,187792000000.0,20004000000.0,38550000000.0,130900000000.0,624894000000.0,285970000000.0,10515000320,1.9024250490940544,27.196385287413857
AMZN,2025-03-31,155667000000.0,17127000000.0,36482000000.0,133245000000.0,643256000000.0,305867000000.0,10597699584,1.6161054447946126,28.861640922694793
